aa | 嗷嗷   | 爱爱   | 哎哎   | 暗暗   | 昂昂   | 安安   | 熬熬   | 矮矮   | 哀哀   | 凹凹   | 挨挨   | 按按   | 傲岸   | 唉唉   | 蔼蔼   | 艾艾   | 
achuai | 阿处爱   | 啊出爱  | 啊出爱  | 錒出爱  | 錒出爱  | 錒雏爱  | 錒雏爱  | 啊雏爱  | 啊雏爱  | 按雏爱  | 按雏爱  | 爱雏爱  | 爱雏爱  | 哎雏爱  | 哎雏爱  | 安雏爱  | 
achuan | 阿川   | 安川   | 爱穿   | 啊出按  | 啊出按  | 錒出按  | 錒出按  | 錒穿  | 錒穿  | 啊穿  | 啊穿  | 按穿  | 按穿  | 爱穿  | 哎穿  | 哎穿  | 
achuang | 暗疮   | 奥创   | 爱创   | 安创   | 安床   | 安闯   | 啊出昂  | 啊出昂  | 錒出昂  | 錒出昂  | 錒床  | 錒床  | 啊床  | 啊床  | 按床  | 按床  | 
achui | 啊吹   | 錒吹  | 錒吹  | 啊吹  | 按吹  | 按吹  | 爱吹  | 爱吹  | 哎吹  | 哎吹  | 安吹  | 安吹  | 阿吹  | 阿吹  | 奥吹  | 奥吹  | 
achun | 阿春   | 阿纯   | 鹌鹑   | 爱春   | 錒春  | 錒春  | 啊春  | 啊春  | 按春  | 按春  | 爱春  | 哎春  | 哎春  | 安春  | 安春  | 阿春  | 
achuo | 按戳   | 啊出哦  | 錒出哦  | 錒戳  | 錒戳  | 啊戳  | 啊戳  | 按戳  | 爱戳  | 爱戳  | 哎戳  | 哎戳  | 安戳  | 安戳  | 阿戳  | 阿戳  | 
aci | 按此   | 挨次   | 按次   | 安次   | 艾糍   | 暗刺   | 哀辞   | ACI   | 錒次  | 啊次  | 啊次  | ACI   | 按此  | 爱次  | 爱次  | 哎次  | 
acong | 阿聪   | 錒从  | 錒从  | 啊从  | 啊从  | 按从  | 按从  | 爱从  | 爱从  | 哎从  | 哎从  | 安从  | 安从  | 阿聪  | 奥从  | 奥从  | 
acou | acoustic   | 錒凑  | 啊凑  | 啊凑  | acoustic   | 按凑  | 按凑  | 爱凑  | 爱凑  | 哎凑  | 哎凑  | 安凑  | 安凑  | 阿凑  | 阿凑  | 奥凑  | 
acu | acute   | 錒粗  | 啊粗  | 啊粗  | acute   | 按粗  | 按粗  | 爱粗  | 爱粗  | 哎粗  | 哎粗  | 安粗  | 安粗  | 阿粗  | 阿粗  | 奥粗  | 
acuan | 按攒   | 阿粗按  | 阿粗按  | 啊粗按  | 啊粗按  | 錒粗按  | 錒粗按  | 錒醋按  | 錒醋按  | 啊醋按  | 啊醋按  | 按醋按  | 按醋按  | 爱醋按  | 爱醋按  | 哎醋按  | 
acui | 阿崔   | 安翠   | 錒催  | 錒催  | 啊催  | acuity   | 啊催  | 按催  | 按催  | 爱催  | 爱催  | 哎催  | 哎催  | 安翠  | 阿崔  | 奥催  | 
acun | 俺村   | 奥村   | 安村   | 安存   | 錒存  | 錒存  | 啊存  | 啊存  | 按存  | 按存  | 爱存  | 爱存  | 哎存  | 哎存  | 安村  | 阿存  | 
acuo | 按错   | 安措   | 爱错   | 安厝   | 阿粗哦  | 啊粗哦  | 錒粗哦  | 錒错  | 錒错  | 啊错  | 啊错  | 按错  | 爱错  | 哎错  | 哎错  | 安措  | 
ada | 阿达   | Ada   | 阿大   | 爱大爱   | 挨打   | 安达   | 澳大   | 昂达   | 爱打   | 安大   | 艾达   | 奥达   | 爱达   | 安打   | 谙达   | 錒大  | 
adai | 阿呆   | 阿戴   | 爱戴   | 暗袋   | 奥戴   | 奥黛   | 澳代   | 叆叇   | 錒带  | 錒带  | 啊带  | 啊带  | 按带  | 按带  | 爱戴  | 哎带  | 
adan | 阿丹   | 阿蛋   | 阿旦   | 暗淡   | 氨氮   | 黯淡   | 艾丹   | 奥蛋   | 安单   | 錒但  | 錒但  | 啊但  | 啊但  | 按但  | 按但  | 爱但  | 
adang | 阿当   | 爱党   | 爱宕   | 錒当  | 錒当  | 啊当  | 啊当  | 按当  | 按当  | 爱党  | 哎当  | 哎当  | 安当  | 安当  | 阿当  | 奥当  | 
adao | 按到   | 熬到   | 挨到   | 爱到   | 暗道   | 哀悼   | 挨刀   | 按倒   | 安到   | 暗刀   | 阿道   | 錒大哦  | 錒到  | 錒到  | 啊到  | 啊到  | 
ade | ade   | 阿德   | 奥迪尔   | 阿黛尔   | 奥杜尔   | 爱迪尔   | 安道尔   | 艾迪尔   | 奥戴尔   | 奥代尔   | 埃德尔   | 安迪尔   | 爱的   | 奥德   | 俺的   | 按得   | 
adei | 俺得   | 阿得   | 錒得  | 錒得  | 啊得  | 啊得  | 按得  | 按得  | 爱得  | 爱得  | 哎得  | 哎得  | 安得  | 安得  | 阿得  | 奥得  | 
aden | 阿登   | 阿德南   | 爱的呢   | 爱的那   | 啊den  | 按den  | 爱den  | 哎den  | 安den  | 阿den  | 奥den  | 唉den  | 昂den  | 熬den  | 俺den  | 暗den  | 
adeng | 阿登   | 阿灯   | 阿邓   | A等   | 安灯   | 奥登   | 矮凳   | 艾登   | 錒等  | 錒等  | 啊等  | 啊等  | 按等  | 按等  | 爱等  | 爱等  | 
adi | adi   | 阿迪   | 阿弟   | 阿娣   | 奥迪   | 安迪   | 艾迪   | 暗帝   | 案底   | 爱迪   | 暗地   | 俺弟   | 傲滴   | 爱地   | 埃迪   | 爱滴   | 
adia | Adia   | 錒嗲  | 啊嗲  | 啊嗲  | Adia   | 按嗲  | 按嗲  | 爱嗲  | 爱嗲  | 哎嗲  | 哎嗲  | 安嗲  | 安嗲  | 阿嗲  | 阿嗲  | 奥嗲  | 
adian | A点   | 暗点   | 熬点   | 矮点   | 按点   | 凹点   | 暗殿   | 爱点   | 錒点  | 錒点  | 啊点  | 啊点  | 按点  | 爱点  | 哎点  | 哎点  | 
adiao | 阿刁   | 按掉   | 爱掉   | 暗调   | 安调   | 阿嗲哦  | 啊嗲哦  | 錒嗲哦  | 錒掉  | 錒掉  | 啊掉  | 啊掉  | 按掉  | 爱掉  | 哎掉  | 哎掉  | 
adie | 阿爹   | 俺爹   | 奥爹   | 錒爹  | 錒爹  | 啊爹  | adieu   | 啊爹  | 按爹  | 按爹  | 爱爹  | 爱爹  | 哎爹  | 哎爹  | 安爹  | 安爹  | 
adin | 安定   | 奥丁   | 阿丁   | 爱定   | 吖啶   | 奥迪男   | 阿迪娜   | adi你  | 阿迪你  | 阿迪你  | 阿弟你  | 阿弟你  | 阿娣你  | 阿娣你  | 奥迪你  | 奥迪你  | 
ading | 奥丁   | 爱定   | 安定   | 阿丁   | 吖啶   | 錒定  | 錒定  | 啊定  | 啊定  | 按定  | 按定  | 爱定  | 哎定  | 哎定  | 安定  | 阿丁  | 
adiu | 啊丢   | 錒丢  | 錒丢  | 啊丢  | 按丢  | 按丢  | 爱丢  | 爱丢  | 哎丢  | 哎丢  | 安丢  | 安丢  | 阿丢  | 阿丢  | 奥丢  | 奥丢  | 
adong | 阿东   | A栋   | 阿冬   | 安东   | 按动   | 挨冻   | 敖东   | 爱动   | 庵东   | 奥东   | 昂东   | 爱东   | 安冬   | 艾东   | 安栋   | 按栋   | 
adou | 阿斗   | 阿豆   | 爱豆   | 俺都   | 傲斗   | 暗斗   | 安兜   | 暗兜   | 岸兜   | 錒都  | 錒都  | 啊都  | 啊都  | 按都  | 按都  | 爱豆  | 
adu | 阿杜   | 阿渡   | 爱都   | 暗度   | 奥都   | 安度   | 爱度   | 爱读   | 安都   | 案牍   | 安堵   | 奥杜   | 錒度  | 錒度  | adult   | 啊度  | 
aduan | A段   | 阿短   | 凹断   | 拗断   | 啊度按  | 啊度按  | 錒度按  | 錒度按  | 錒赌按  | 錒赌按  | 啊赌按  | 啊赌按  | 按赌按  | 按赌按  | 爱赌按  | 爱赌按  | 
adui | 爱对   | 哎对   | 暗队   | 昂对   | 啊对   | 錒对  | 錒对  | 啊对  | 按对  | 按对  | 爱对  | 哎对  | 安对  | 安对  | 阿对  | 阿对  | 
adun | 安顿   | 暗盾   | 艾顿   | 奥顿   | 矮墩   | 安盾   | 按吨   | 錒顿  | 錒顿  | 啊顿  | 啊顿  | 按顿  | 按顿  | 爱顿  | 爱顿  | 哎顿  | 
aduo | 阿朵   | 阿多   | 阿哆   | 爱多   | 奥朵   | 安多   | 安朵   | 啊度哦  | aduo   | 錒度哦  | 錒duo  | 啊duo  | 按duo  | 爱duo  | 哎duo  | 安duo  | 
ae | 艾尔   | 阿尔   | 挨饿   | 媕娿   | 奥恩   | 俺儿   | 爱尔   | 奥尔   | 阿二   | 安儿   | 埃尔   | 爱儿   | 艾儿   | 啊恩   | 爱耳   | 錒额  | 
aei | 啊诶   | 錒诶  | 錒诶  | 啊诶  | 按诶  | 按诶  | 爱诶  | 爱诶  | 哎诶  | 哎诶  | 安诶  | 安诶  | 阿诶  | 阿诶  | 奥诶  | 奥诶  | 
aen | 啊恩   | 安儿宁   | 奥恩   | 錒嗯  | 錒嗯  | 啊恩  | 按嗯  | 按嗯  | 爱嗯  | 爱嗯  | 哎嗯  | 哎嗯  | 安嗯  | 安嗯  | 阿嗯  | 阿嗯  | 
aeng | 阿鞥   | 錒鞥  | 錒鞥  | 啊鞥  | 啊鞥  | 按鞥  | 按鞥  | 爱鞥  | 爱鞥  | 哎鞥  | 哎鞥  | 安鞥  | 安鞥  | 阿鞥  | 奥鞥  | 奥鞥  | 
aer | 阿尔   | 阿二   | 爱耳日   | 艾尔   | 俺儿   | 爱尔   | 奥尔   | 安儿   | 埃尔   | 爱儿   | 艾儿   | 爱耳   | 錒二  | 錒二  | aero   | 啊二  | 
afa | 阿发   | 案发   | 奥法   | 挨罚   | 爱发   | 安发   | 錒发  | 錒发  | 啊发  | 啊发  | 按发  | 按发  | 爱发  | 哎发  | 哎发  | 安发  | 
afan | 阿帆   | 案犯   | 奥帆   | 安返   | 熬饭   | 錒饭  | 錒饭  | 啊饭  | 啊饭  | 按饭  | 按饭  | 爱饭  | 爱饭  | 哎饭  | 哎饭  | 安返  | 
afang | 阿芳   | 阿方   | 阿房   | 安防   | 暗访   | 安放   | 爱芳   | 暗房   | 案防   | 爱房   | 錒放  | 錒放  | 啊放  | 啊放  | 按放  | 按放  | 
afei | 阿飞   | 阿菲   | 爱妃   | 安飞   | 奥菲   | 艾菲   | 奥飞   | 爱飞   | 艾飞   | 錒飞  | 錒飞  | 啊飞  | 啊飞  | 按飞  | 按飞  | 爱飞  | 
afen | 阿芬   | 阿粉   | 安分   | 氨酚   | 爱芬   | 昂奋   | 暗粉   | 艾芬   | 錒分  | 錒分  | 啊分  | 啊分  | 按分  | 按分  | 爱芬  | 哎分  | 
afeng | 阿峰   | 阿凤   | 阿枫   | 爱疯   | 安丰   | 傲风   | 暗讽   | 鳌峰   | 安峰   | 爱凤   | 奥峰   | 艾丰   | 安锋   | 安凤   | 錒风  | 錒风  | 
afiao | 阿覅   | 錒覅  | 錒覅  | 啊覅  | 啊覅  | 按覅  | 按覅  | 爱覅  | 爱覅  | 哎覅  | 哎覅  | 安覅  | 安覅  | 阿覅  | 奥覅  | 奥覅  | 
afo | afoot   | 錒佛  | 啊佛  | 啊佛  | afoot   | 按佛  | 按佛  | 爱佛  | 爱佛  | 哎佛  | 哎佛  | 安佛  | 安佛  | 阿佛  | 阿佛  | 奥佛  | 
afou | 爱否   | 安否   | 錒fou  | 啊fou  | 按fou  | 爱fou  | 哎fou  | 安fou  | 阿fou  | 奥fou  | 唉fou  | 昂fou  | 熬fou  | 俺fou  | 暗fou  | 案fou  | 
afu | 阿福   | 阿芙   | 阿附   | 阿父   | 安抚   | 爱抚   | 安福   | 暗敷   | 奥夫   | 安富   | 爱芙   | 澳服   | 奥父   | 錒付  | 錒付  | 啊付  | 
aga | again   | 錒噶  | 啊噶  | 啊噶  | again   | 按噶  | 按噶  | 爱噶  | 爱噶  | 哎噶  | 哎噶  | 安噶  | 安噶  | 阿噶  | 阿噶  | 奥噶  | 
agai | 阿盖   | 阿改   | 暗改   | 錒该  | 錒该  | again   | 啊该  | 啊该  | 按该  | 按该  | 爱该  | 爱该  | 哎该  | 哎该  | 安该  | 安该  | 
agan | 阿甘   | 暗杆   | 爱干   | 錒干  | 錒干  | 啊干  | 啊干  | 按干  | 按干  | 爱干  | 哎干  | 哎干  | 安干  | 安干  | 阿甘  | 奥干  | 
agang | 阿纲   | 阿刚   | 爱岗   | 鞍钢   | 安钢   | 暗杠   | 奥港   | 安刚   | 爱港   | 錒刚  | 錒刚  | 啊刚  | 啊刚  | 按刚  | 按刚  | 爱岗  | 
agao | 爱搞   | 安高   | 艾高   | 昂高   | 哀告   | 阿高   | 阿噶哦  | 啊噶哦  | 錒噶哦  | 錒高  | 錒高  | 啊高  | 啊高  | 按高  | 按高  | 爱搞  | 
age | 阿哥   | age   | 挨个儿   | 安格尔   | 阿格   | 矮个儿   | 阿戈尔   | 按个   | 挨个   | 俺哥   | 奥格   | 安格   | 安哥   | 艾格   | 昂个   | 爱格   | 
agei | 爱给   | 錒给  | 錒给  | 啊给  | 啊给  | 按给  | 按给  | 爱给  | 哎给  | 哎给  | 安给  | 安给  | 阿给  | 阿给  | 奥给  | 奥给  | 
agen | 阿根   | 爱跟   | 铵根   | 矮跟   | 俺跟   | 錒gen  | 啊gen  | 按gen  | agent   | 爱gen  | 哎gen  | 安gen  | 阿gen  | 奥gen  | 唉gen  | 昂gen  | 
ageng | 爱更   | 安耿   | 錒更  | 錒更  | 啊更  | 啊更  | 按更  | 按更  | 爱更  | 哎更  | 哎更  | 安更  | 安更  | 阿更  | 阿更  | 奥更  | 
agong | 阿公   | 安工   | 安宫   | 艾工   | 錒工  | 錒工  | 啊工  | 啊工  | 按工  | 按工  | 爱工  | 爱工  | 哎工  | 哎工  | 安工  | 阿公  | 
agou | 阿狗   | 爱狗   | 暗沟   | 爱购   | 錒够  | 錒够  | 啊够  | 啊够  | 按够  | 按够  | 爱狗  | 哎够  | 哎够  | 安够  | 安够  | 阿狗  | 
agu | A股   | 阿古   | 阿姑   | 阿顾   | agua   | 傲骨   | 俺姑   | 艾古   | 安固   | 奥古   | 安谷   | 癌股   | 錒古  | 錒古  | 啊古  | 啊古  | 
agua | agua   | 阿瓜   | 矮瓜   | 啊古啊  | 錒古啊  | 錒挂  | 錒挂  | 啊挂  | 啊挂  | 按挂  | 按挂  | 爱挂  | 爱挂  | 哎挂  | 哎挂  | 安挂  | 
aguai | 阿怪   | 啊古爱  | 啊古爱  | 錒古爱  | 錒古爱  | 錒鼓爱  | 錒鼓爱  | 啊鼓爱  | 啊鼓爱  | 按鼓爱  | 按鼓爱  | 爱鼓爱  | 爱鼓爱  | 哎鼓爱  | 哎鼓爱  | 安鼓爱  | 
aguan | 安管   | 暗管   | 案管   | 奥冠   | 安冠   | 啊古按  | 啊古按  | 錒古按  | 錒古按  | 錒管  | 錒管  | 啊管  | 啊管  | 按管  | 按管  | 爱管  | 
aguang | 阿光   | 安广   | 暗光   | 敖广   | 啊古昂  | 啊古昂  | 錒古昂  | 錒古昂  | 錒古昂  | 啊古昂  | 按古昂  | 按古昂  | 爱古昂  | 爱古昂  | 哎古昂  | 哎古昂  | 
agui | 阿贵   | 阿桂   | 阿鬼   | 阿龟   | 昂贵   | 安规   | 矮柜   | 澳规   | 錒贵  | 錒贵  | 啊贵  | 啊贵  | 按贵  | 按贵  | 爱贵  | 爱贵  | 
agun | 啊滚   | 錒滚  | 錒滚  | 啊滚  | 按滚  | 按滚  | 爱滚  | 爱滚  | 哎滚  | 哎滚  | 安滚  | 安滚  | 阿滚  | 阿滚  | 奥滚  | 奥滚  | 
aguo | 阿国   | 阿果   | 爱国   | 熬过   | 爱过   | 安国   | 挨过   | 按过   | 碍国   | 安果   | 啊古哦  | 錒古哦  | 錒过  | 錒过  | 啊过  | 啊过  | 
aha | 啊哈   | aha   | 阿哈   | 艾哈   | 安哈   | 奥哈   | 錒哈  | 錒哈  | 啊哈  | 按哈  | 按哈  | 爱哈  | 爱哈  | 哎哈  | 哎哈  | 安哈  | 
ahai | 阿海   | 安海   | 爱海   | 暗害   | 奥海   | 澳海   | 俺孩   | 錒还  | 錒还  | 啊还  | 啊还  | 按还  | 按还  | 爱海  | 哎还  | 哎还  | 
ahan | 阿汉   | 阿涵   | 暗含   | 傲寒   | 敖汉   | 暗涵   | 安翰   | 錒喊  | 錒喊  | 啊喊  | 啊喊  | 按喊  | 按喊  | 爱喊  | 爱喊  | 哎喊  | 
ahang | 阿航   | 安航   | 澳航   | 埃航   | 爱行   | 錒行  | 錒行  | 啊行  | 啊行  | 按行  | 按行  | 爱行  | 哎行  | 哎行  | 安航  | 阿航  | 
ahao | 阿豪   | 阿浩   | 阿好   | 爱好   | 安好   | 暗号   | 熬好   | 案号   | 哀嚎   | 艾蒿   | 按好   | 安浩   | 哀号   | 錒哈哦  | 錒好  | 錒好  | 
ahe | 阿和   | 阿河   | 暗花儿   | 阿赫   | 爱河   | 爱喝   | 暗盒   | 安和   | 奥和   | 爱和   | 暗河   | 暗合   | 安河   | 嗳呵   | 爱禾   | 錒和  | 
ahei | 阿黑   | 暗黑   | 哎嘿   | 黯黑   | 錒黑  | 錒黑  | 啊黑  | 啊黑  | 按黑  | 按黑  | 爱黑  | 爱黑  | 哎嘿  | 安黑  | 安黑  | 阿黑  | 
ahen | 爱恨   | 凹痕   | 俺很   | 懊恨   | 爱很   | 錒hen  | 啊hen  | 按hen  | 爱hen  | 哎hen  | 安hen  | 阿hen  | 奥hen  | 唉hen  | 昂hen  | 熬hen  | 
aheng | 阿恒   | 阿衡   | 安恒   | 艾恒   | 錒哼  | 錒哼  | 啊哼  | 啊哼  | 按哼  | 按哼  | 爱哼  | 爱哼  | 哎哼  | 哎哼  | 安恒  | 阿恒  | 
ahm | 爱很美   | 爱荷美   | Ahmad   | 爱好吗   | 啊哼吗  | 啊哼吗  | 錒哼吗  | 錒哼吗  | 啊黑吗  | 啊黑吗  | 錒黑吗  | 錒黑吗  | 錒和吗  | 錒和吗  | 錒好吗  | 錒好吗  | 
ahng | 行   | 航   | 杭   | 安徽那个   | 爱护你个  | 爱护你个  | 啊哼那个  | 啊哼那个  | 錒哼那个  | 錒哼那个  | 啊黑那个  | 啊黑那个  | 錒黑那个  | 錒黑那个  | 錒和那个  | 錒和那个  | 
